"","ODATEDW","OSOURCE","TCODE","STATE","ZIP","MAILCODE","PVASTATE","DOB","NOEXCH","RECINHSE","RECP3","RECPGVG","RECSWEEP","MDMAUD","DOMAIN","CLUSTER","AGE","AGEFLAG","HOMEOWNR","CHILD03","CHILD07","CHILD12","CHILD18","NUMCHLD","INCOME","GENDER","WEALTH1","HIT","MBCRAFT","MBGARDEN","MBBOOKS","MBCOLECT","MAGFAML","MAGFEM","MAGMALE","PUBGARDN","PUBCULIN","PUBHLTH","PUBDOITY","PUBNEWFN","PUBPHOTO","PUBOPP","DATASRCE","MALEMILI","MALEVET","VIETVETS","WWIIVETS","LOCALGOV","STATEGOV","FEDGOV","SOLP3","SOLIH","MAJOR","WEALTH2","GEOCODE","COLLECT1","VETERANS","BIBLE","CATLG","HOMEE","PETS","CDPLAY","STEREO","PCOWNERS","PHOTO","CRAFTS","FISHER","GARDENIN","BOATS","WALKER","KIDSTUFF","CARDS","PLATES","LIFESRC","PEPSTRFL","POP901","POP902","POP903","POP90C1","POP90C2","POP90C3","POP90C4","POP90C5","ETH1","ETH2","ETH3","ETH4","ETH5","ETH6","ETH7","ETH8","ETH9","ETH10","ETH11","ETH12","ETH13","ETH14","ETH15","ETH16","AGE901","AGE902","AGE903","AGE904","AGE905","AGE906","AGE907","CHIL1","CHIL2","CHIL3","AGEC1","AGEC2","AGEC3","AGEC4","AGEC5","AGEC6","AGEC7","CHILC1","CHILC2","CHILC3","CHILC4","CHILC5","HHAGE1","HHAGE2","HHAGE3","HHN1","HHN2","HHN3","HHN4","HHN5","HHN6","MARR1","MARR2","MARR3","MARR4","HHP1","HHP2","DW1","DW2","DW3","DW4","DW5","DW6","DW7","DW8","DW9","HV1","HV2","HV3","HV4","HU1","HU2","HU3","HU4","HU5","HHD1","HHD2","HHD3","HHD4","HHD5","HHD6","HHD7","HHD8","HHD9","HHD10","HHD11","HHD12","ETHC1","ETHC2","ETHC3","ETHC4","ETHC5","ETHC6","HVP1","HVP2","HVP3","HVP4","HVP5","HVP6","HUR1","HUR2","RHP1","RHP2","RHP3","RHP4","HUPA1","HUPA2","HUPA3","HUPA4","HUPA5","HUPA6","HUPA7","RP1","RP2","RP3","RP4","MSA","ADI","DMA","IC1","IC2","IC3","IC4","IC5","IC6","IC7","IC8","IC9","IC10","IC11","IC12","IC13","IC14","IC15","IC16","IC17","IC18","IC19","IC20","IC21","IC22","IC23","HHAS1","HHAS2","HHAS3","HHAS4","MC1","MC2","MC3","TPE1","TPE2","TPE3","TPE4","TPE5","TPE6","TPE7","TPE8","TPE9","PEC1","PEC2","TPE10","TPE11","TPE12","TPE13","LFC1","LFC2","LFC3","LFC4","LFC5","LFC6","LFC7","LFC8","LFC9","LFC10","OCC1","OCC2","OCC3","OCC4","OCC5","OCC6","OCC7","OCC8","OCC9","OCC10","OCC11","OCC12","OCC13","EIC1","EIC2","EIC3","EIC4","EIC5","EIC6","EIC7","EIC8","EIC9","EIC10","EIC11","EIC12","EIC13","EIC14","EIC15","EIC16","OEDC1","OEDC2","OEDC3","OEDC4","OEDC5","OEDC6","OEDC7","EC1","EC2","EC3","EC4","EC5","EC6","EC7","EC8","SEC1","SEC2","SEC3","SEC4","SEC5","AFC1","AFC2","AFC3","AFC4","AFC5","AFC6","VC1","VC2","VC3","VC4","ANC1","ANC2","ANC3","ANC4","ANC5","ANC6","ANC7","ANC8","ANC9","ANC10","ANC11","ANC12","ANC13","ANC14","ANC15","POBC1","POBC2","LSC1","LSC2","LSC3","LSC4","VOC1","VOC2","VOC3","HC1","HC2","HC3","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","MHUC1","MHUC2","AC1","AC2","ADATE_2","ADATE_3","ADATE_4","ADATE_5","ADATE_6","ADATE_7","ADATE_8","ADATE_9","ADATE_10","ADATE_11","ADATE_12","ADATE_13","ADATE_14","ADATE_15","ADATE_16","ADATE_17","ADATE_18","ADATE_19","ADATE_20","ADATE_21","ADATE_22","ADATE_23","ADATE_24","RFA_2","RFA_3","RFA_4","RFA_5","RFA_6","RFA_7","RFA_8","RFA_9","RFA_10","RFA_11","RFA_12","RFA_13","RFA_14","RFA_15","RFA_16","RFA_17","RFA_18","RFA_19","RFA_20","RFA_21","RFA_22","RFA_23","RFA_24","CARDPROM","MAXADATE","NUMPROM","CARDPM12","NUMPRM12","RDATE_3","RDATE_4","RDATE_5","RDATE_6","RDATE_7","RDATE_8","RDATE_9","RDATE_10","RDATE_11","RDATE_12","RDATE_13","RDATE_14","RDATE_15","RDATE_16","RDATE_17","RDATE_18","RDATE_19","RDATE_20","RDATE_21","RDATE_22","RDATE_23","RDATE_24","RAMNT_3","RAMNT_4","RAMNT_5","RAMNT_6","RAMNT_7","RAMNT_8","RAMNT_9","RAMNT_10","RAMNT_11","RAMNT_12","RAMNT_13","RAMNT_14","RAMNT_15","RAMNT_16","RAMNT_17","RAMNT_18","RAMNT_19","RAMNT_20","RAMNT_21","RAMNT_22","RAMNT_23","RAMNT_24","RAMNTALL","NGIFTALL","CARDGIFT","MINRAMNT","MINRDATE","MAXRAMNT","MAXRDATE","LASTGIFT","LASTDATE","FISTDATE","NEXTDATE","TIMELAG","AVGGIFT","CONTROLN","TARGET_B","HPHONE_D","RFA_2R","RFA_2F","RFA_2A","MDMAUD_R","MDMAUD_F","MDMAUD_A","CLUSTER2","GEOCODE2"
"1208",8901,"ACS",2,"WA","98198-"," "," ",1107,"0"," "," "," "," ","XXXX","S2",17,86,"I"," "," "," "," "," ",NA,NA,"F",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,34,24,5,4,8,NA,NA," ",6,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",2165,504,929,99,0,0,51,49,78,11,3,6,6,0,0,1,1,1,1,0,4,0,0,1,27,32,36,29,37,40,26,45,39,15,19,36,21,9,7,5,2,21,17,34,17,11,9,4,8,31,34,35,19,7,2,40,21,4,36,155,232,17,17,0,75,75,67,0,0,0,940,989,4,5,21,79,94,6,0,32,54,34,18,69,31,15,3,12,30,22,14,17,54,7,4,7,0,0,7,40,81,97,0,11,14,39,41,13,5,29,47,7,3,9,66,1,24,75,97,98,7600,105,819,269,297,310,345,13702,24,19,27,15,10,3,0,1,0,22,17,19,21,14,4,0,2,0,15,6,24,10,81,19,32,72,17,7,7,0,0,1,2,2,1,5,24,30,9,72,76,87,65,82,63,56,31,84,99,3,11,12,7,8,19,0,2,12,0,17,4,9,1,0,0,5,22,11,1,5,9,7,7,8,2,8,3,4,8,5,4,8,9,71,2,0,127,1,11,33,28,8,15,4,2,23,3,14,9,1,2,0,13,24,1,34,7,24,28,0,3,0,12,0,0,4,1,3,0,0,0,0,1,0,5,51,96,2,1,2,96,41,12,2,18,0,0,0,19,67,33,0,1,17,0,81,1,0,1,99,0,97,99,98,9,2,2,2,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,"L4E","S3E","S3E","S4E","S4E","S4E","S4E","S4E","S4E","S4E","S4E","S4E","S4E","S4E","S4F","S4F","S4F","S4F","S4F","S4F","S4F","S4F","S4F",28,9702,76,6,13,NA,NA,NA,NA,9603,NA,NA,NA,9511,NA,NA,9507,9506,NA,9503,9501,NA,NA,9411,NA,NA,9406,NA,NA,NA,NA,10,NA,NA,NA,10,NA,NA,10,10,NA,10,14,NA,NA,10,NA,NA,13,370,37,16,5,9205,16,9402,10,9603,8909,9004,7,10,180288,"0",0,"L",4,"E","X","X","X",24,"A"
"2036",9201,"LHJ",0,"AR","71845"," "," ",3706,"0"," "," "," "," ","XXXX","R3",50,61," "," "," "," "," "," ",NA,NA,"M",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,32,28,9,6,5,NA,NA," ",1,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",3438,930,1285,0,0,99,47,53,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,50,38,48,52,27,34,43,24,12,18,16,16,13,13,12,13,14,34,24,15,37,17,35,26,31,42,26,12,6,57,9,13,21,175,263,80,79,1,2,1,0,1,1,0,242,314,1,1,75,25,83,17,17,36,72,55,26,88,12,11,2,9,12,23,1,11,30,14,12,24,9,0,0,2,6,17,0,4,37,49,51,14,4,2,0,15,20,1,0,3,0,1,1,14,0,321,612,119,168,192,221,7016,56,18,9,8,7,2,0,0,0,45,23,12,10,9,1,0,0,0,39,19,20,36,28,72,6,68,23,1,1,0,0,0,6,2,10,21,17,25,10,47,52,62,43,53,40,58,35,42,70,26,9,7,2,8,11,2,0,13,10,14,11,7,8,13,1,6,24,5,4,4,11,3,1,4,0,6,8,5,6,8,5,5,12,67,3,1,120,22,27,32,11,2,4,2,0,27,1,22,4,0,0,0,10,21,0,27,17,31,9,1,3,1,1,0,0,6,0,0,0,0,0,0,0,0,0,77,98,1,0,0,79,45,16,12,29,0,4,15,36,53,47,0,0,59,17,13,0,0,12,65,34,47,92,81,7,2,6,5,9706,9606,9604,NA,9603,9602,9601,9511,9510,9510,9509,9507,9506,NA,9503,9502,9501,9411,9411,9410,9409,9407,9406,"L3E","A2E","A2E"," ","A1E","A1E","A1E","A1E","A1E","A1E","A1E","A2E","A1E"," ","A2E","A2E","A2E","A2E","A1D","A1D","A1D","A2D","A1D",19,9702,51,5,12,NA,NA,NA,NA,9603,9603,NA,NA,NA,NA,NA,NA,NA,9505,NA,NA,NA,NA,NA,NA,NA,9407,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,11,82,9,5,5,9201,11,9206,10,9603,9201,9206,5,9.1111111111,111037,"0",0,"L",3,"E","X","X","X",61,"D"
"1645",9001,"ANT",0,"FL","34683"," "," ",4501,"0"," "," "," "," ","XXXX","S1",12,53,"E","H"," "," "," "," ",NA,4,"F",8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,40,40,30,4,2,1,NA,NA," ",8,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",6184,1860,2133,99,0,0,49,51,98,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,35,42,44,35,45,48,27,37,41,22,9,20,27,16,12,12,4,15,14,32,22,17,23,4,20,10,37,53,31,11,2,72,6,4,18,214,289,94,89,0,3,3,3,0,0,0,1065,1133,6,6,88,12,95,5,33,44,87,78,39,93,7,5,1,4,7,9,3,22,59,16,0,0,0,3,17,54,79,99,0,1,66,61,62,15,4,2,1,2,10,0,2,0,59,89,91,93,8280,131,539,445,482,519,541,17594,6,13,15,22,26,11,4,2,1,4,11,15,22,28,12,4,2,2,26,2,58,2,52,48,26,83,12,0,0,0,0,0,2,2,1,18,24,30,10,65,69,78,60,76,60,74,65,90,99,2,18,15,6,19,13,0,1,12,1,8,3,1,3,2,0,7,14,3,1,4,19,11,7,2,2,11,6,10,2,4,2,1,7,78,7,1,140,2,9,27,22,10,20,10,5,23,2,19,6,0,0,0,20,40,1,40,14,30,8,0,7,0,13,2,1,6,6,0,3,0,2,2,1,0,5,20,91,3,1,5,99,75,20,4,9,3,16,70,99,99,1,4,2,0,1,97,1,0,1,99,0,99,99,99,9,2,5,7,9706,9606,9604,NA,9603,9602,9601,9511,NA,9510,9508,NA,NA,NA,9503,9502,9501,9411,9411,9410,9409,9407,9406,"L1F","A1F","A1F"," ","A1F","L1E","L1E","L1E"," ","L1E","L1E"," "," "," ","L2F","A1E","A1E","A1E","A1E","A1E","A1E","A1E","A1E",20,9702,57,4,11,NA,NA,NA,NA,NA,NA,9512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,11,5,5,9008,15,9303,15,9512,9001,9008,7,10.818181818,45762,"0",1,"L",1,"F","X","X","X",19,"A"
"1800",8601,"BHG",0,"FL","32034"," "," ",4403,"0"," "," "," "," ","XXXX","T1",35,54,"E","H"," "," "," "," ",NA,7,"M",9,12,0,0,1,0,2,0,0,0,0,1,0,0,0,1,3,0,62,37,55,3,3,3,NA,NA," ",9,2," ","Y"," "," "," "," ","Y"," "," "," "," ","Y"," ","Y"," "," "," "," ",2," ",711,253,313,0,0,99,47,53,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49,55,56,47,54,55,15,33,45,22,5,9,16,18,22,23,7,13,15,40,20,12,37,8,36,17,58,25,15,3,1,79,6,4,11,157,227,92,64,0,7,7,2,0,0,0,2276,2624,7,7,91,9,69,31,62,21,81,77,19,90,10,3,1,2,7,13,3,13,51,36,0,0,0,58,71,96,99,99,30,0,61,59,60,13,3,6,0,1,8,1,0,1,71,82,93,96,3600,335,561,762,858,804,914,38826,12,4,13,3,18,15,10,9,17,3,0,15,3,20,18,11,11,20,37,3,71,3,56,44,48,66,7,0,0,0,0,0,5,22,18,14,12,23,4,42,44,59,28,56,21,18,31,0,0,13,14,37,8,23,11,0,0,0,0,7,0,0,0,0,0,3,4,3,4,3,26,11,4,3,4,3,3,16,10,3,3,3,14,76,0,0,142,0,7,14,30,13,28,8,7,10,0,13,4,0,0,0,32,62,0,37,37,55,0,1,12,1,5,0,0,9,0,1,0,0,0,0,1,0,4,8,99,0,0,0,99,77,29,5,10,3,26,58,92,96,4,8,0,0,6,94,0,0,0,85,15,84,99,99,10,4,11,17,9706,9606,9604,9604,9603,9602,9601,9511,9510,9511,9509,9507,9506,9504,9503,9502,9501,9411,NA,9410,9409,9407,9406,"L1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G","A1G"," ","L1F","L1F","A1F","A1F",27,9702,57,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9506,NA,NA,NA,NA,NA,NA,9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,30,140,6,4,10,8812,50,9506,50,9506,8703,8812,21,23.333333333,31756,"0",1,"L",1,"G","X","X","X",14,"B"
"1294",8601,"SPN",0,"OR","97138"," "," ",1801,"0"," "," "," "," ","XXXX","T2",36,80,"E","H"," "," "," "," ",NA,1,"F",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,28,56,8,0,6,NA,NA," ",1,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",995,255,417,0,99,1,47,53,96,0,1,1,2,0,0,1,1,0,0,0,1,0,0,0,35,45,48,38,49,52,27,40,40,20,9,20,19,13,13,14,13,14,18,33,21,14,35,16,33,33,35,33,23,9,4,55,14,12,18,150,238,74,74,5,15,10,5,0,0,0,513,531,3,3,61,39,84,16,63,30,61,48,22,78,22,8,2,6,17,27,6,22,51,24,0,0,0,0,1,1,9,53,0,7,31,48,49,13,4,12,3,9,24,10,3,1,4,23,61,87,0,233,820,175,246,209,255,8989,43,23,19,13,3,0,0,0,0,29,22,22,24,3,0,0,0,0,32,4,40,15,58,42,10,69,7,0,0,0,0,0,16,7,1,1,8,14,4,24,72,75,70,72,63,61,46,72,0,8,8,13,0,22,10,0,3,16,1,15,3,6,3,1,0,9,6,8,3,0,27,8,2,12,3,2,6,6,6,8,0,6,13,68,5,0,120,5,12,36,29,10,7,3,2,25,0,22,5,0,0,0,16,34,2,28,10,56,6,0,4,0,8,0,0,4,0,4,0,0,0,2,4,0,4,57,94,3,3,1,89,37,16,4,50,2,2,5,14,16,84,0,0,44,3,28,21,0,5,99,0,97,99,93,5,2,3,13,9706,9606,9604,9604,9603,9602,9601,9511,9510,9509,9508,9507,NA,NA,9503,9502,9501,9411,NA,9410,9409,NA,NA,"L2F","S2F","S2F","S2F","S2F","S2F","S2F","A1F","A1F","A1F","A1F","A1F"," "," ","I1E","L1E","L1E","L1E"," ","L1E","L1E"," "," ",27,9702,70,5,12,NA,NA,NA,NA,NA,NA,NA,NA,9510,NA,NA,NA,NA,9504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,104,11,7,5,8804,15,9103,10,9510,8611,8703,4,9.4545454545,175203,"0",1,"L",2,"F","X","X","X",55,"D"
"2007",9101,"MBC",2,"AZ","86338"," "," ",0,"0"," "," "," "," ","XXXX","R2",46,NA," "," "," "," "," "," ",NA,NA," ",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,7,79,14,0,0,NA,12," ",5,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA," ",186,53,69,0,0,99,48,52,95,0,1,0,8,0,0,0,0,0,0,0,7,0,0,1,39,47,49,39,49,51,26,25,58,17,6,16,21,19,17,14,7,10,10,47,20,12,30,10,26,20,41,39,23,12,4,67,11,6,16,173,261,59,58,1,1,0,0,3,0,3,763,821,2,1,75,25,80,20,59,32,78,70,26,84,16,6,1,4,13,12,3,20,52,22,0,0,0,0,13,38,50,69,0,6,28,46,48,14,4,1,0,40,12,0,0,13,0,15,23,38,0,275,753,320,328,350,360,13786,18,14,27,19,16,6,0,0,0,14,3,41,22,17,3,0,0,0,51,0,67,6,55,45,12,67,30,0,0,0,0,0,3,0,0,0,14,20,4,43,45,52,37,49,30,31,64,0,0,4,20,7,0,0,17,0,3,4,26,20,3,0,0,26,9,7,3,13,0,0,4,7,4,4,0,3,14,3,3,13,0,0,10,67,10,0,120,18,18,25,21,3,9,6,4,12,0,9,7,0,0,0,28,53,0,10,4,76,0,3,8,0,10,0,0,3,3,8,0,0,0,2,0,0,7,37,92,8,0,0,97,72,28,5,17,0,20,43,55,78,22,0,0,0,44,21,7,3,25,8,88,1,99,83,1,2,5,9,9706,9606,9604,9604,9603,9602,9601,9511,9510,9511,9509,9507,9506,9504,9503,9502,9412,9411,NA,NA,9409,NA,9406,"L1F","A1F","A1F","A1F","A1F","A1F","A1F","A2F","A2F","A2F","A2F","A3G","A2G","A2G","A2G","A2G","A2G","A1G"," "," ","I3G"," ","L1G",22,9702,71,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9505,NA,NA,NA,NA,NA,NA,9409,NA,9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,12,NA,125,255,6,4,10,9206,125,9407,18,9505,9109,9204,7,42.5,5458,"0",1,"L",1,"F","X","X","X",56,"C"
"1698",9101,"HOW",2,"MS","38671"," ","P",4001,"0"," "," "," ","X","XXXX","S2",18,58,"E","H"," "," "," "," ",NA,6,"F",8,20,0,0,4,0,1,1,0,0,0,5,0,3,0,1,3,0,30,55,14,4,2,4,NA,12," ",NA,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",2801,799,908,99,0,0,50,50,99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29,37,39,30,39,42,31,35,41,24,14,27,29,18,8,3,1,12,15,35,21,17,8,2,6,11,27,62,38,14,3,68,10,3,19,251,308,98,91,0,1,1,0,0,0,0,672,694,5,5,87,13,97,3,0,55,88,75,47,95,5,8,2,6,7,10,1,25,68,6,0,0,0,0,0,3,26,96,0,0,61,55,59,17,5,1,0,0,12,0,0,0,55,86,89,95,4920,179,640,411,419,450,466,14957,4,13,20,29,28,4,0,1,1,3,8,22,31,29,4,0,2,1,10,0,31,2,52,48,29,89,10,0,0,0,0,0,0,2,68,1,19,22,3,70,80,88,71,86,68,66,55,99,99,0,12,11,2,14,24,0,2,7,1,14,5,4,4,1,0,6,18,14,4,9,17,6,6,2,0,7,4,4,4,4,2,4,5,78,7,0,120,1,11,39,32,6,8,2,6,29,2,25,8,0,0,0,15,30,1,55,16,14,9,1,5,1,5,0,0,10,1,0,1,0,0,2,0,0,1,20,97,2,0,1,99,85,35,5,15,2,16,26,94,99,0,8,1,76,0,22,0,0,2,99,0,99,99,99,7,2,4,4,9706,9606,9604,9604,9603,9602,9601,9509,9510,9511,9510,NA,NA,NA,9503,9502,9501,9411,9411,9410,9409,NA,9406,"L2E","S2E","S2E","S2E","A1E","A1E","A1E","A1E","A1E","A1E","A1E"," "," "," ","L4D","L4D","L4D","A1C","A1C","A1C","A1C"," ","S2D",19,9702,68,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,12,5,2,9205,12,9504,10,9512,9103,9107,4,4.8333333333,9774,"0",1,"L",2,"E","X","X","X",22,"B"
"1698.1",9101,"HOW",2,"MS","38671"," ","P",4001,"0"," "," "," ","X","XXXX","S2",18,58,"E","H"," "," "," "," ",NA,6,"F",8,20,0,0,4,0,1,1,0,0,0,5,0,3,0,1,3,0,30,55,14,4,2,4,NA,12," ",NA,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",2801,799,908,99,0,0,50,50,99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29,37,39,30,39,42,31,35,41,24,14,27,29,18,8,3,1,12,15,35,21,17,8,2,6,11,27,62,38,14,3,68,10,3,19,251,308,98,91,0,1,1,0,0,0,0,672,694,5,5,87,13,97,3,0,55,88,75,47,95,5,8,2,6,7,10,1,25,68,6,0,0,0,0,0,3,26,96,0,0,61,55,59,17,5,1,0,0,12,0,0,0,55,86,89,95,4920,179,640,411,419,450,466,14957,4,13,20,29,28,4,0,1,1,3,8,22,31,29,4,0,2,1,10,0,31,2,52,48,29,89,10,0,0,0,0,0,0,2,68,1,19,22,3,70,80,88,71,86,68,66,55,99,99,0,12,11,2,14,24,0,2,7,1,14,5,4,4,1,0,6,18,14,4,9,17,6,6,2,0,7,4,4,4,4,2,4,5,78,7,0,120,1,11,39,32,6,8,2,6,29,2,25,8,0,0,0,15,30,1,55,16,14,9,1,5,1,5,0,0,10,1,0,1,0,0,2,0,0,1,20,97,2,0,1,99,85,35,5,15,2,16,26,94,99,0,8,1,76,0,22,0,0,2,99,0,99,99,99,7,2,4,4,9706,9606,9604,9604,9603,9602,9601,9509,9510,9511,9510,NA,NA,NA,9503,9502,9501,9411,9411,9410,9409,NA,9406,"L2E","S2E","S2E","S2E","A1E","A1E","A1E","A1E","A1E","A1E","A1E"," "," "," ","L4D","L4D","L4D","A1C","A1C","A1C","A1C"," ","S2D",19,9702,68,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,12,5,2,9205,12,9504,10,9512,9103,9107,4,4.8333333333,9774,"0",1,"L",2,"E","X","X","X",22,"B"
"77",9401,"WAR",0,"MO","63011"," "," ",4310,"0"," "," "," "," ","XXXX","T1",35,54,"E","H"," "," "," "," ",NA,7,"M",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,28,42,17,3,2,2,NA,NA," ",9,3,"Y","Y"," "," "," ","Y","Y","Y","Y","Y"," "," ","Y"," "," ","Y","Y"," ",3," ",12330,3384,3903,88,0,12,49,51,96,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,32,40,41,31,42,44,34,37,43,20,9,19,36,20,8,4,3,14,17,36,21,12,12,6,11,11,25,64,43,15,4,74,5,4,18,267,316,89,87,0,11,11,10,0,0,0,1844,2048,5,4,87,13,95,5,2,56,87,81,52,94,6,4,1,3,6,10,2,28,61,7,1,1,0,43,64,93,97,99,13,2,84,77,73,18,4,3,8,0,3,1,9,0,32,56,64,78,7040,75,609,676,713,726,786,25507,8,5,5,14,27,19,11,4,8,2,3,4,16,29,20,12,4,9,15,1,67,2,63,37,28,88,6,0,0,0,0,0,2,4,2,25,30,31,5,76,73,90,56,88,54,53,47,82,82,1,20,26,3,23,11,0,1,6,1,4,1,1,1,1,0,5,18,3,5,8,16,13,4,1,1,7,7,7,2,3,2,2,5,81,6,0,160,2,4,15,22,6,33,17,8,27,4,24,6,0,1,0,14,28,0,42,17,17,4,0,5,1,17,0,0,7,2,0,1,0,0,1,1,0,3,52,96,2,1,2,95,87,27,4,7,9,47,72,92,96,4,1,3,72,3,23,1,0,1,93,7,86,99,99,14,3,6,2,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,"L1G","A1G","A1G","A1G","A1G","A4G","A4G","A4G","A4G","A4G","A4G","A4G","A4G","A4G","A4G","A1F","A1F","N2F","N2F","N2F","N2F","N2F","F1E",16,9702,39,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9504,NA,NA,NA,9411,9410,NA,9412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,20,15,NA,25,NA,130,7,2,10,9310,25,9412,25,9504,9310,9404,6,18.571428571,99334,"0",0,"L",1,"G","X","X","X",2,"A"
"1158",9601,"SIW",28,"CA","95490-"," "," ",0,"0"," "," "," "," ","XXXX","R1",42,NA," "," "," "," "," "," ",NA,NA,"F",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,31,42,15,4,1,NA,NA," ",NA,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA," ",845,229,332,0,0,99,53,47,92,1,6,1,4,0,0,0,0,0,0,0,2,0,0,1,35,41,42,34,44,46,29,38,39,23,8,19,32,19,9,7,5,12,17,36,22,13,17,6,14,26,30,44,26,8,2,58,14,4,24,181,254,72,71,0,0,0,0,0,0,0,999,1041,3,1,66,34,74,26,50,43,69,53,30,83,17,12,5,7,24,11,5,22,58,11,0,0,0,9,12,50,74,88,0,26,18,42,39,14,5,0,0,25,23,0,0,10,0,6,33,52,0,65,807,224,243,296,334,11088,27,27,14,19,9,4,2,0,0,21,31,8,20,13,6,2,0,0,26,11,29,20,36,64,6,66,28,0,0,0,0,0,5,2,0,3,16,22,9,52,60,81,35,71,27,34,47,0,99,7,9,8,0,2,5,0,2,7,11,16,21,11,9,4,0,25,34,2,0,0,15,0,2,7,0,2,7,0,1,3,5,1,19,73,0,0,120,5,16,39,22,4,9,4,0,21,1,18,2,0,0,0,20,37,0,26,11,24,20,0,3,1,2,0,0,2,0,0,0,0,0,1,1,0,3,69,97,1,0,2,96,64,17,5,17,0,16,34,58,75,25,0,0,0,11,9,1,0,79,2,26,0,87,68,5,3,5,5,9706,9606,9604,NA,9603,9601,9601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L2F","F1F","F1F"," ","F1F","P1A","P1F"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",5,9702,14,4,11,NA,NA,NA,NA,NA,9601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,6,9603,15,9601,6,9603,9601,9603,2,10.5,170244,"0",0,"L",2,"F","X","X","X",58,"C"
